# ----------------------------------------
# Demographic details: Country
# Account: Tresor Tech Store
# Property: Flix
# ----------------------------------------
# 
# All Users
# Start date: 20260902
# End date: 20260903
Country,Date,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Nigeria,20260902,8442,2169,10142,0.6849925705794948,1.201374081971097,136.15422885572139,302934,44317,0.9985785358919688,261.093995
Nigeria,20260903,8427,2238,10374,0.7022745735174655,1.2310430758276967,139.4257742969028,301837,45240,0.9971520113919544,320.97794
Egypt,20260903,8091,2833,10305,0.626177310566932,1.2736373748609566,156.11012235817574,360538,54430,0.9995056235323199,178.156869
Egypt,20260902,8042,2650,10529,0.6128994702834857,1.309251429992539,151.51454861974634,351561,52445,0.9993782641134046,135.351922
India,20260903,6590,3264,8198,0.6734576521810565,1.2440060698027313,138.90394537177542,298687,44792,0.9981790591805766,131.868263
India,20260902,5711,2484,7061,0.6536752453249398,1.2363859219050954,144.91560147084573,261560,38527,0.998949395902644,182.318034
Brazil,20260903,4473,1679,5600,0.5654852065030799,1.2519561815336464,149.14866979655713,184587,30682,0.9979879275653923,509.803357
Brazil,20260902,4393,1590,5751,0.5820261107175387,1.309128158433872,146.78329160027317,168941,30029,0.9981789210106988,387.133188
Ghana,20260902,3401,224,4165,0.6580818454732185,1.224639811820053,80.1337841811232,74026,9753,0.9991179064980888,23.514261
Bangladesh,20260902,3139,1751,3789,0.7537298587626815,1.2070723160242116,121.8598279706913,158638,22635,0.9993628544122332,47.764275
Bangladesh,20260903,3113,1694,3801,0.7312427856868026,1.221008673305493,124.93157725666559,157162,23734,0.9993575329264375,61.054597
Ghana,20260903,3014,166,3597,0.6181474480151229,1.1934306569343065,81.08626410086264,66045,8435,0.9986728599867286,31.284724
Pakistan,20260902,2819,1083,3437,0.6853439680957129,1.219226676126286,153.33416105001774,129925,16723,0.9960979070592408,67.402034
Pakistan,20260903,2630,975,3397,0.6850171405525307,1.2916349809885932,156.26311787072243,123720,16196,0.996958174904943,44.109179
Algeria,20260903,2614,1007,3421,0.67675568743818,1.3087222647283856,152.58684009181331,115895,16225,0.9992348890589136,19.498429
Algeria,20260902,2545,877,3152,0.6632996632996633,1.238506876227898,145.81100196463655,109025,15004,1,15.270442
Kenya,20260902,2376,303,2578,0.6812896405919662,1.085016835016835,90.61153198653199,53797,6671,0.9991582491582491,12.191271
United States,20260902,2146,791,2470,0.6343091936312275,1.1509785647716682,212.903541472507,109828,19062,0.9864864864864865,745.702604
United States,20260903,2099,799,2494,0.6282115869017633,1.1881848499285375,206.95474035254884,106238,18918,0.985707479752263,1048.674416
Kenya,20260903,2068,254,2196,0.6691042047531993,1.0618955512572534,76.59622823984526,45557,6097,0.9990328820116054,24.773608
Morocco,20260903,2038,781,2713,0.6290285184326455,1.331207065750736,161.59960745829244,93032,14070,1,49.182533
Morocco,20260902,1974,642,2728,0.6063569682151589,1.381965552178318,169.76545086119555,88876,13490,0.9989868287740629,61.834213
Zimbabwe,20260902,1930,511,2299,0.6964556195092396,1.1911917098445597,101.1341968911917,51688,6664,0.9958549222797928,42.009507
Zimbabwe,20260903,1840,536,2226,0.711864406779661,1.2097826086956522,92.13586956521739,50900,6768,0.9994565217391305,31.371327
Uganda,20260902,1807,546,2177,0.7161184210526316,1.204759269507471,113.4825677919203,61104,7897,0.9988931931377975,14.566852
Uganda,20260903,1694,513,2140,0.7348901098901099,1.2632821723730814,116.41499409681228,58612,7571,0.999409681227863,37.307902
Uzbekistan,20260903,1530,700,1806,0.6308068459657702,1.1803921568627451,113.99477124183007,70772,11532,0.9973856209150327,31.284682
Uzbekistan,20260902,1529,736,1766,0.6445255474452555,1.1550032701111839,140.214519293656,73481,11720,0.9960758665794637,48.411318
Saudi Arabia,20260903,1378,534,1715,0.6616512345679012,1.24455732946299,175.78301886792454,66756,11548,0.9970972423802612,140.131474
Tanzania,20260902,1376,308,1732,0.7049247049247049,1.2587209302325582,102.05450581395348,41267,5069,0.998546511627907,29.999708
Iran,20260902,1298,206,1602,0.5848849945235487,1.234206471494607,106.40215716486902,28786,3918,0.9730354391371341,3.294328
Saudi Arabia,20260902,1286,503,1615,0.6599918267266041,1.255832037325039,198.41057542768274,62139,10651,0.9968895800933126,240.707039
Tanzania,20260903,1238,219,1475,0.6656137184115524,1.191437802907916,83.19305331179322,32826,4308,0.9991922455573505,14.293778
Iran,20260903,1214,134,1488,0.5478645066273933,1.2257001647446457,115.35502471169687,26678,3658,0.9777594728171335,3.087285
Philippines,20260903,1177,704,1362,0.709005726184279,1.157179269328802,142.892948173322,56200,8501,0.9974511469838573,30.855652
Philippines,20260902,1148,637,1319,0.6876955161626694,1.1489547038327526,149.33797909407664,57129,8485,0.9991289198606271,51.212339
Yemen,20260902,1138,186,1531,0.5915765069551777,1.3453427065026362,180.95957820738138,35774,5007,0.9973637961335676,7.886914
South Africa,20260902,1122,220,1487,0.6874711049468331,1.3253119429590017,155.25044563279857,41417,5153,0.9928698752228164,77.679241
Sudan,20260902,1001,208,1189,0.6231656184486373,1.187812187812188,114.001998001998,31990,4659,0.998001998001998,5.747048
Yemen,20260903,991,147,1279,0.56768752774079,1.2906155398587285,138.19172552976792,28318,3854,0.9989909182643795,2.799711
Jordan,20260903,987,450,1209,0.6750418760469011,1.2249240121580547,176.10739614994935,48762,7816,0.9969604863221885,37.2319
